Title,Author,Year,Keyword,Abstract available,Abstract,Citation count,Source,Type,Open access,DOI
Testing volatility spillovers using GARCH models in the Japanese stock market during COVID-19,C. Spulbar; Ramona Birau; Jatin Trivedi; Iqbal Thonse Hawaldar; Elena Loredana Minea,2022,stock market covid GARCH,Yes,"This paper investigates volatility spillovers in the stock market in Japan during the COVID-19 pandemic by using GARCH family models. The empirical analysis is focused on the dynamics of the NIKKEI 225 stock market index during the sample period from July 30, 1998, to January 24, 2022. In other words, the sample period covers both the period of the global financial crisis (GFC) and the COVID-19 pandemic. The econometrics includes GARCH (1,1), GJR (1,1), and EGARCH (1,1) models. By applying GARCH family models, this empirical study also examines the long-term behavior of the Japanese stock market.The Japanese stock market is much more stable and efficient than emerging or frontier markets characterized by higher volatility and lower liquidity. The paper establishes that NIKKEI 225 index dynamics is different in intensity in the case of the two most recent extreme events analyzed, namely the global financial crisis (GFC)of 2007–2008 and the COVID-19 pandemic. The findings confirmed the presence of the leverage effect during the sample period. Moreover, the empirical results identified the presence of high volatility in the sample returns of the selected stock market. Nevertheless, the econometric framework showed that the negative implications of the GFC were much more severe and caused more significant contractions compared to the COVID-19 pandemic for the Japanese stock market. This study contributes to the existing literature by providing additional empirical evidence on the long-term behavior of the stock market in Japan, especially in the context of extreme events.",9,Investment Management and Financial Innovations,,True,10.21511/imfi.19(1).2022.20
Return volatility of Asian stock exchanges; a GARCH DCC analysis with reference of Bitcoin and global crude oil price movement,Amritkant Mishra; Ajit Kumar Dash,2024,stock market covid GARCH,Yes,"Purpose
This study aims to investigate the conditional volatility of the Asian stock market concerning Bitcoin and global crude oil price movement.

Design/methodology/approach
This study uses the newest Dynamic Conditional Correlation (DCC)-Generalized Autoregressive Conditional Heteroskedasticity (GARCH) model to examine the conditional volatility of the stock market for Bitcoin and crude oil prices in the Asian perspective. The sample stock market includes Chinese, Indian, Japanese, Malaysian, Pakistani, Singaporean, South Korean and Turkish stock exchanges, with daily time series data ranging from 4 April 2015−31 July 2023.

Findings
The outcome reveals the presence of volatility clustering on the return series of crude oil, Bitcoin and all selected stock exchanges of the current study. Secondly, the outcome of DCC, manifests that there is no short-run volatility spillover from crude oil to the Malaysian, Pakistani and South Korean and Turkish stock markets, whereas Chinese, Indian, Japanese, Singapore stock exchanges show the short-run volatility spillover from crude oil in the short run. On the other hand, in the long run, there is a volatility spillover effect from crude oil to all the stock exchanges. Thirdly, the findings suggest that there is no immediate spillover of volatility from Bitcoin to the stock markets return volatility of China, India, Malaysia, Pakistan, South Korea and Singapore. In contrast, both the Japanese and Turkish stock exchanges exhibit a short-term volatility spillover from Bitcoin. In the long term, a volatility spillover effect from Bitcoin is observed in all stock exchanges except for Malaysia. Lastly, based on the outcome of conditional variance, it can be concluded that there was increase in the return volatility of stock exchanges during the period of the COVID-19 pandemic.

Research limitations/implications
The analysis below does not account for the bias induced due to certain small sample properties of DCC-GARCH model. There exists a huge literature that suggests other methodologies for small sample corrections such as the DCC connectedness approach. On the other hand, decisive corollaries of the conclusions drawn above have been made purely based on a comprehensive investigation of eight Asian stock exchange economies. However, there is scope for inclusive examination by considering other Nordic and Western financial markets with panel data approach to get more robust inferences about the reality.

Originality/value
Most of the empirical analysis in this perspective skewed towards the Nordic and Western countries. In addition to that many empirical investigations examine either the impact of crude oil price movement or Bitcoin performance on the stock market return volatility. However, none of the examinations quests the crude oil and Bitcoin together to unearth their implication on the stock market return volatility in a single study, especially in the Asian context. Hence, current investigation endeavours to examine the ramifications of Bitcoin and crude oil price movement on the stock market return volatility from an Asian perspective, which has significant implications for the investors of the Asian financial market.
",9,Journal of Chinese Economic and Foreign Trade Studies,JournalArticle,False,10.1108/jcefts-01-2024-0009
"Exchange Rate and Stock Markets During Trade Conflicts in the USA, China, and India",Deepika Krishnan; Vishal Dagar,2022,stock market covid GARCH,Yes,"During trade tussles, most of the stock exchanges are impacted, both directly and indirectly, thereby influencing the exchange rates of the countries. This article gives a comprehensive insight into the effects of exchange rate on the USA, China, and Indian stock market, that is, the Dow Jones industrial average index (DJI), Shanghai Stock Exchange (SSE) composite index, and Nifty50 index during trade conflicts. Trade conflicts here talk about the recent trade war between the USA and China, which was invariably fallen in line with the outbreak of COVID-19. Sample of this study comprises the daily closing price from different indices and exchange rate values US dollar, yuan, and rupee. This article uses ordinary least square (OLS) model and generalized autoregressive conditional heteroskedasticity (GARCH) model to analyze the volatility and influence of exchange rate over the stock market. Results from OLS model indicated that the fluctuations in exchange rate have minimum impact on the daily closing price of stock indices, that is, DJI, SSE, and Nifty50 in the USA, China, and India, respectively, however, exchange rate impacts volume of shares traded in all three stock exchanges. The GARCH model implies that the conditional variance is less volatile for Nifty volume, but highly volatile for SSE and DJI stock volumes traded. The findings of the study provide insights to the domestic and foreign investors regarding their investment in the stock market during trade conflicts and mostly during COVID-19 situation.",8,Global Journal of Emerging Market Economies,JournalArticle,False,10.1177/09749101221082724
High-frequency volatility connectedness and time-frequency correlation among Chinese stock and major commodity markets around COVID-19,H. Zeng; Ran Lu,2022,stock market covid GARCH,Yes,"This study examines the connectedness and time-frequency correlation of price volatility across the Chinese stock market and major commodity markets. This paper applies a DCC-GARCH-based volatility connectedness model and the cross-wavelet transform to examine the transmission of risk patterns in these markets before and during the COVID-19 outbreak, as well as the leading lag relationship and synergistic movements between different time domains. First, the findings of the DCC-GARCH connectedness model show dynamic total spillovers are stronger after the COVID-19 outbreak. Chinese stocks and corn have been net spillovers in the system throughout the sample period, but the Chinese market plays the role of a net receiver of volatility relative to other markets (net pairwise directional connectedness) in the system as a whole. In terms of wavelet results, there is some connection to the connectedness results, with all commodity markets, except soybeans and wheat, showing significant dependence on Chinese equities in the medium/long term following the COVID-19 outbreak. Secondly, the medium-to long-term frequency of the crude oil market and copper market are highly dependent on the Chinese stock market, especially after the COVID-19 outbreak. Meanwhile, the copper market is the main source of risk for the Chinese stock market, while the wheat market sends the least shocks to the Chinese stock market. The findings of this paper will have a direct impact on a number of important decisions made by investors and policymakers.",8,Investment Management and Financial Innovations,,True,10.21511/imfi.19(2).2022.23
COVID-19 pandemic and risk dynamics of financial markets in G7 countries,M. Mobin; M. Hassan; Airil Khalid; Ruzita Abdul-Rahim,2022,stock market covid GARCH,Yes,"
Purpose
The purpose of this study is twofold: to examine the effects of the COVID-19 pandemic on the risk dynamics of stock and bond markets in G7 countries; and to examine if the stock-bond risk dynamics can be linked to government measures to contain the pandemic.


Design/methodology/approach
To examine the pandemic impact on the risk dynamics of the bond and stock markets, this study chooses G7 countries for their efficient financial market properties. This study uses standard generalized autoregressive conditional heteroskedasticity (GARCH) (1,1) and exponential GARCH (1,1) models to determine the most volatile and sensitive market, most persistent market during the crisis and the leverage effect between stock and bond markets. This study then uses a panel study to investigate whether this volatility in stock and bond markets is affected by the COVID-19 cases and various government responses (fiscal stimulus packages, monetary policy, emergency investment in health care and vaccine investment).


Findings
The findings of the study confirm that the bad news of the pandemic is causing higher volatility than good news for all seven stock markets. Canadian stock and bond markets are the most volatile, and Italian bond and stock markets are the most sensitive G7 countries. Japan has shown the highest persistence, and the stock market exhibits higher leverage than the bond market. Fiscal stimulus packages are helping to reduce bond market volatility, but none of these measures are effective in the stock market.


Research limitations/implications
The pandemic is still spreading, and the rate at which it spreads wildly will always pose a limitation to any attempt to examine its full effect.


Practical implications
Investigation of market volatility will help policymakers and market players formulate the best strategies to overcome and exit the crisis and plan post-pandemic solutions. It provides valuable insights for investors to rebalance their portfolios during highly volatile markets while preserving their risk appetite and investment objectives.


Originality/value
The paper provides evidence on the impact of the pandemic-induced crisis and the respective government responses on the volatility of competing capital markets (stock and bond) in countries that are considered most efficient in reflecting news.
",8,International Journal of Islamic and Middle Eastern Finance and Management,,False,10.1108/imefm-09-2021-0358
Spillover effect of the geopolitical uncertainty on the cryptocurrency market,Saliha Theiri,2024,stock market covid GARCH,Yes,"PurposeThis study aims to examine the influence of geopolitical uncertainty on cryptocurrency markets (CM).Design/methodology/approachUtilizing two distinct sets of daily returns data spanning from January 1, 2019, to May 4, 2023, the analysis employs the geopolitical risk (GPR) index formulated by Caldara and Iacoviello (2022), which encapsulates two pivotal events: the COVID-19 pandemic and the Russia–Ukraine conflict. The cryptocurrency market (CM) encompasses Bitcoin (BTC), Ethereum (ETH), Litecoin (LTC) and Dogecoin (DOGE). Employing the DCC-GARCH model and supplementing it with wavelet coherence analysis to discern perceptual distinctions between short- and long-term market reactions.FindingsThe main findings indicate that the GPR index clearly impacts the return of CM in the short-, mid- and long-term periods. BTC exhibited the highest volatility in response to changes in the GPR index. The cryptocurrency market offers a better diversification opportunity, and the impact of geopolitical events varies across time, with their direction and magnitude closely related to the specificity of the CM.Practical implicationsThis research is helpful for financial market investors, portfolio and risk managers, make informed decisions about including cryptocurrencies in their investment portfolios to mitigate the risks in uncertainty period.Originality/valueCryptocurrency market volatility is treated weakly during the risk period. With advanced statistical method, this study links two important events: the COVID-19 pandemic and the Russia–Ukraine conflict and selects the top four cryptocurrencies constituting 80% of the market. This study examines the impact of geopolitical risk on the cryptocurrency market and shows that this market is considered a safe haven.",8,EuroMed Journal of Business,JournalArticle,False,10.1108/emjb-01-2024-0021
Analyzing The Covid-19 Pandemic of Volatility Spillover Influence the Collaboration of Foreign and Indian Stock Markets,Runumi Das; Arabinda Debnath,2022,stock market covid GARCH,Yes,"One of the most crucial variables in investment selections is volatility. Unexpected information causes an investor to trade unusually in the market, which influences market volatility. Furthermore, various market sectors are affected differently by this type of trading behaviour. This research investigates the impact of COVID-19 on stock market volatility in India using a generalised autoregressive conditional model. The research was conducted using daily closing prices of stock indices include Nifty 50 and Nifty 500, from September 8, 2019, to July 9, 2021. In this article, the TGARCH model (1,1) was utilized to evaluate the volatility of NSE listed shares. The stock market's volatility has been calculated using the NSE's closing price. To reduce the skewness in the stock price data distribution, the natural logarithm of each price data is employed in the estimations. During the pre-COVID and COVID periods, the conditional volatility of the daily return series showed signs of volatility variations. Furthermore, the study aimed to compare stock price returns in pre-COVID19 and post-COVID19 scenarios to global indexes such as the NASDAQ, Nikkei 225, and FTSE. The stock market in India suffered volatility throughout the epidemic, according to the findings. Consequently, the study recommends NSE stock exchange bond indices to explore the volatility spillover influence between foreign exchange and the stock market in India. In this work, the positive definite covariance matrix is given, therefore a multivariate GARCH with BEKK model is used to estimate the covariance correlation and identify the consequences that stock market downturns can create. SPSS and Eviews software are used to analyze the data. The Augmented Dickey-Fuller (ADF) and KPSS unit root tests have been used to determine whether a time series is stationary or nonstationary. Whereas it corrects for heteroscedasticity and autocorrelation consistency in ADF test statistics, the study employed the KPSS unit root test to estimate the right result. In addition, to investigate the impact of COVID19 on stock market volatility in terms of negative and positive shocks in financial decisions, the TGARCH model captures asymmetry. The finding that the variable has a negative and statistically significant coefficient suggests that the COVID-19 outbreak lowered stock market volatility in India. In terms of historical errors, the coefficients represent the persistence of volatility for each nation. NIFTY and NASDAQ have the largest and longest-term spillover effect. According to the findings, India is the least sensitive to external shocks.",8,Revista Finanzas y Política Económica,,True,10.14718/revfinanzpolitecon.v14.n2.2022.5
Uncertainty governance in the stock market during the COVID-19: evidence of the strictest economies in the world,S. Owjimehr; Hooman Hasanzadeh Dastfroosh,2022,stock market covid GARCH,Yes,"PurposeAccording to the Government Response tracker (oxCGRT) index, the strictest policy responses to the coronavirus pandemic from January 2020 to May 2022 belong to Italy, China, Hong Kong, Greece, Austria, Peru, Singapore and Malaysia. The main question is: “this level of strictness has been able to reduce the uncertainty of the stock market?”Design/methodology/approachTo achieve this goal, the authors investigated the effect of oxCGRT index, and the growth rate of COVID-19 confirms cases on stock market uncertainty from January 2020 to May 2022 in the GARCH, EGARCH and TGARCH models.FindingsAmong these countries, the oxCGRT index has reduced uncertainty in the stock market only in Malaysia and Singapore. This result says an appropriate pattern of applying government policy responses is more important than the degree of stringency.Originality/valueThe study will contribute to the existing literature by examining the impact of the comprehensive oxCGRT index on the uncertainty of the stock market.",8,China Finance Review International,,False,10.1108/cfri-07-2022-0109
Equity return volatility in Africa’s stock markets: A dynamic panel approach,Godfred Aawaar; Louis Logogye; Daniel Domeher,2023,stock market covid GARCH,Yes,"Abstract This study examines the determinants of time-varying return volatility of Africa’s equity markets using monthly indices of eight top African stock markets. The conditional variance is modelled as a proxy for Africa’s volatility indices using the best fitting model among SGARCH, EGARCH and GJR-GARCH. In a bid to account for the dynamic and persistent nature of volatility, the least squares dummy variable bias correction (LSDVC) model is employed. The study finds that volatility of African stock markets follows a dynamic process and is explained by past volatility, domestic exchange rates, Treasury bill rates, money supply, inflation rates, movements in world crude oil prices, volatility of the US and UK stock markets and COVID-19 shocks. The results are largely robust to sub-sample analysis. Further analysis: pre-, during and post-crisis periods (Global Financial Crisis (GFC) and COVID-19 pandemic) reveal that (1) African stock markets became sensitive to advanced market volatility in the period during the GFC and have remained sensitive in the post GFC period and (2) past domestic market return volatility, Treasury bill rates and exchange rates have been the main drivers of stock return volatility during the COVID-19 pandemic in Africa. Additionally, markets in North Africa are revealed as the only African markets immune to advanced market volatility spillovers. These markets may thus provide international diversification opportunities for portfolio managers.",8,Cogent Economics & Finance,JournalArticle,True,10.1080/23322039.2023.2258704
Examining Herding Behaviour and Its Impact on Stock Market Volatility: Insights from Asian Economies,Riza Patwarani; Z. Husodo,2023,stock market covid GARCH,Yes,"Objective: This study empirically investigates herding bias in six key Asian countries—Indonesia, Singapore, Taiwan, China, Hong Kong, and India—across different periods (pre-, during, and post-COVID-19). It analyzes herding behaviour during COVID and non-COVID periods, exploring its impact on volatility and examining asymmetry during bearish and bullish market conditions.
Design/Methods/Approach: The investigation employs the Cross-Sectional Absolute Deviation (CSAD) model with a polynomial regression to scrutinize herding behaviour. A GARCH (1,1) volatility model is also established to assess the relationship between herding and volatility. The sample includes daily stock returns from the mentioned countries from January 2, 2019, to September 30, 2023.
Findings: The study reveals the presence of herding behaviour in China and Singapore. In Indonesia and China, herding is evident, specifically during and after the COVID period. The research confirms that herding influences volatility and exhibits asymmetry. Herding is more pronounced during bearish market conditions in China, Indonesia, and Taiwan.
Originality/Value: This study contributes to the existing literature by providing empirical insights into herding behaviour comparing in Asian markets, while others research usually only focus on one country. This study further distinguishes itself by examining post-pandemic periods, a unique aspect as most studies typically focus only on pre- and during-COVID periods. Including volatility and asymmetry aspects enriches understanding the nuanced relationship between herding and market conditions.
Practical/Policy implication: Investors should remain cautious of short-term herding-induced volatility, leveraging stability for consistent profits. Recognizing limited diversification during market losses is crucial. Additionally, governments and regulators should focus on enhancing market transparency and investor education, investing in robust market infrastructure to mitigate the impact of excessive herding.",8,Jurnal Manajemen Teori dan Terapan| Journal of Theory and Applied Management,JournalArticle,True,10.20473/jmtt.v16i3.51757
Semi-parametric financial risk forecasting incorporating multiple realized measures,Rangika Peiris; Chao Wang; Richard H. Gerlach; Minh-Ngoc Tran,2024,stock market covid GARCH,Yes,"A semi-parametric joint Value-at-Risk (VaR) and Expected Shortfall (ES) forecasting framework employing multiple realized measures is developed. The proposed framework extends the realized exponential GARCH model to be semi-parametrically estimated, via a joint loss function, whilst extending existing quantile time series models to incorporate multiple realized measures. A quasi-likelihood is built, employing the asymmetric Laplace distribution that is directly linked to a joint loss function, which enables Bayesian inference for the proposed model. An adaptive Markov Chain Monte Carlo method is used for the model estimation. The empirical section evaluates the performance of the proposed framework with six stock markets from January 2000 to June 2022, covering the period of COVID-19. Three realized measures, including 5-minute realized variance, bi-power variation, and realized kernel, are incorporated and evaluated in the proposed framework. One-step-ahead 1% and 2.5% VaR and ES forecasting results of the proposed model are compared to a range of parametric and semi-parametric models, lending support to the effectiveness of the proposed framework.",7,Quantitative Finance,JournalArticle,True,10.1080/14697688.2024.2431564
Vine Copula Approach to Understand the Financial Dependence of the Istanbul Stock Exchange Index,O. Evkaya; İsmail Gür; Bükre Yıldırım Külekci; Gulden Poyraz,2024,stock market covid GARCH,Yes,"Recently, the complex dependence patterns among various stocks gained more importance. Measuring the dependency structure is critical for investors to manage their portfolio risks. Since the global financial crisis, researchers have been more interested in studying the dynamics of dependency within stock markets by using novel methodologies. This study aims to investigate a Regular-Vine copula approach to estimate the interdependence structure of the Istanbul Stock Exchange index (ISE100). For this purpose, we consider 32 stocks related to 6 sectors belonging to ISE100. To reflect the time-varying impacts of the 2008–2009 global financial crisis, the dependence analysis is conducted over pre-, during-, and post-global financial crisis periods. Portfolio analysis is considered via a rolling window approach to capture the changes in the dependence. We compare the Regular-Vine-based generalized autoregressive conditional heteroskedasticity (GARCH) against the conventional GARCH model with different innovations. Value at risk and expected shortfall risk measures are used to validate the models. Additionally, for the constructed portfolios, return performance is summarized using both Sharpe and Sortino ratios. To test the ability of the considered Regular-Vine approach on ISE100, another evaluation has been done during the COVID-19 pandemic crisis with various parameter settings. The main findings across different risky periods illustrate the suitability of using the Regular-vine GARCH approach to model the complex dependence among stocks in emerging market conditions.",7,Computational Economics,JournalArticle,True,10.1007/s10614-023-10544-7
Risk transmission between equity market of China and its trading partners: new evidence from various financial crises,Ijaz Younis; Imran Yousaf; Waheed Ullah Shah; Longsheng Cheng,2023,stock market covid GARCH,Yes,"PurposeThe authors examine the volatility connections between the equity markets of China and its trading partners from developed and emerging markets during the various crises episodes (i.e. the Asian Crisis of 1997, the Global Financial Crisis, the Chinese Market Crash of 2015 and the COVID-19 outbreak).Design/methodology/approachThe authors use the GARCH and Wavelet approaches to estimate causalities and connectedness.FindingsAccording to the findings, China and developed equity markets are connected via risk transmission in the long term across various crisis episodes. In contrast, China and emerging equity markets are linked in short and long terms. The authors observe that China leads the stock markets of India, Indonesia and Malaysia at higher frequencies. Even China influences the French, Japanese and American equity markets despite the Chinese crisis. Finally, these causality findings reveal a bi-directional causality among China and its developed trading partners over short- and long-time scales. The connectedness varies across crisis episodes and frequency (short and long run). The study's findings provide helpful information for portfolio hedging, especially during various crises.Originality/valueThe authors examine the volatility connections between the equity markets of China and its trading partners from developed and emerging markets during the various crisis episodes (i.e. the Asian Crisis of 1997, the Global Financial Crisis, the Chinese Market Crash of 2015 and the COVID-19 outbreak). Previously, none of the studies have examined the connectedness between Chinese and its trading partners' equity markets during these all crises.",7,International Journal of Emerging Markets,JournalArticle,False,10.1108/ijoem-11-2022-1763
Dynamic DeFi-G7 stock markets interactions and their potential role in diversifying and hedging strategies,Carlos Esparcia; T. Fakhfakh; Francisco Jareño; Achraf Ghorbel,2024,stock market covid GARCH,Yes,"This study examines the link between stocks and decentralized finance (DeFi) in terms of returns and volatility. Major G7 exchange-traded funds (ETFs) and various highly traded DeFi assets are considered to ensure the robustness of the empirical experiment. Specifically, this study applies the vector autoregression generalized autoregressive conditional heteroskedasticity (VAR-GARCH) model to examine the information transmission of these two markets on a two-way basis and the dynamic conditional correlation (DCC)-GARCH model to assess the bivariate correlation structure between each DeFi and ETF pair. The volatility spillover analysis proves a contagion effect occurred between different geographic markets, and even between markets of different natures and typologies, during the most turbulent moments of the COVID-19 crisis and the war in the Ukraine. Our results also reveal a weak positive correlation between most DeFi and ETF pairs and positive hedge ratios that approach unity during turbulent times. In addition, DeFi assets, except for the Bazaar (BZR) Protocol, can offer diversification gains when included in financial investment portfolios. These results are particularly relevant for portfolio managers and policy-makers when designing investment strategies, especially during periods of financial crisis.",7,Financial Innovation,JournalArticle,True,10.1186/s40854-024-00618-2
Black swan events and stock market behavior in Gulf countries: a comparative analysis of financial crisis (2008) and COVID-19 pandemic,Mohd Ziaur Rehman; K. Karimullah,2023,stock market covid GARCH,Yes,"PurposeThe current study aims to examine the impact of two black swan events on the performance of six stock markets in Gulf Cooperation Council (GCC) economies (Abu Dhabi, Bahrain, Dubai, Oman, Qatar and Saudi Arabia). The two selected black swan events are the US Mortgage and credit crisis (Global Financial Crisis of 2008) and the COVID-19 pandemic.Design/methodology/approachThe performance of all the six stock markets are represented by their return and price volatility behavior, which has been measured by applying ARCH/GARCH model. The comparative analysis is done by employing mean difference models. The data is collected from Bloomberg on a daily frequency.FindingsThe response of two black swan events on the GCC stock markets has been heterogenous in nature. During the financial crisis, the impact was heavily felt on most of the stock markets in the GCC countries. It is revealed that the financial crisis had a negative significant impact on four of the six countries. Whereas during the COVID-19 crisis, it is revealed that there is no significant impact on four of the six selected stock markets. The positive significant impact is felt on two stock markets, namely, the Abu Dhabi stock market and the Saudi stock market.Originality/valueThe present investigation attempts to fill the gap in the literature on the intended topic because it is evident from the literature on the chosen subject that no study has been undertaken to evaluate and contrast the impact of the GFC crisis and COVID-19 on the GCC stock markets.",7,Arab Gulf Journal of Scientific Research,JournalArticle,True,10.1108/agjsr-09-2022-0162
Risk and causality Co-movement of Malaysia’s stock market with its emerging and OECD trading partners. Evidence from the wavelet approach,Xiaoyang Wang; Hui Guo; Muhammad Waris; B. Din,2024,stock market covid GARCH,Yes,"The growing trend of interdependence between the international stock markets indicated the amalgamation of risk across borders that plays a significant role in portfolio diversification by selecting different assets from the financial markets and is also helpful for making extensive economic policy for the economies. By applying different methodologies, this study undertakes the volatility analysis of the emerging and OECD economies and analyzes the co-movement pattern between them. Moreover, with that motive, using the wavelet approach, we provide strong evidence of the short and long-run risk transfer over different time domains from Malaysia to its trading partners. Our findings show that during the Asian financial crisis (1997–98), Malaysia had short- and long-term relationships with China, Germany, Japan, Singapore, the UK, and Indonesia due to both high and low-frequency domains. Meanwhile, after the Global financial crisis (2008–09), it is being observed that Malaysia has long-term and short-term synchronization with emerging (China, India, Indonesia), OECD (Germany, France, USA, UK, Japan, Singapore) stock markets but Pakistan has the low level of co-movement with Malaysian stock market during the global financial crisis (2008–09). Moreover, it is being seen that Malaysia has short-term at both high and low-frequency co-movement with all the emerging and OECD economies except Japan, Singapore, and Indonesia during the COVID-19 period (2020–21). Japan, Singapore, and Indonesia have long-term synchronization relationships with the Malaysian stock market at high and low frequencies during COVID-19. While in a leading-lagging relationship, Malaysia’s stock market risk has both leading and lagging behavior with its trading partners’ stock market risk in the selected period; this behavior changes based on the different trade and investment flow factors. Moreover, DCC-GARCH findings shows that Malaysian market has both short term and long-term synchronization with trading partners except USA. Conspicuously, the integration pattern seems that the cooperation development between stock markets matters rather than the regional proximity in driving the cointegration. The study findings have significant implications for investors, governments, and policymakers around the globe.",7,PLOS ONE,JournalArticle,True,10.1371/journal.pone.0296712
Dependencies and Volatility Spillovers among Chinese Stock and Crude Oil Future Markets: Evidence from Time-Varying Copula and BEKK-GARCH Models,Xiaoling Yu; Kaitian Xiao,2022,stock market covid GARCH,Yes,"This paper investigates co-movements among the Chinese stock market, Shanghai International Energy Exchange (INE) crude oil futures and West Texas Intermediate (WTI) crude oil futures. We use Copula models to capture tail dependencies and employ the VAR-BEKK-GARCH model to examine the direction of volatility spillovers. We find that there are positively time-varying dependency relationships among the three markets. Compared with the corresponding upper-tail dependencies, the lower-tail dependencies were larger before the COVID-19 pandemic while relatively weaker after the breakout of the pandemic. Before the COVID-19 pandemic, there was only a statistically significant volatility spillover from WTI crude oil future market to the INE crude oil future market. After the breakout of the COVID-19 pandemic, there were statistically significant volatility spillovers in the two pairs of markets, namely, the WTI–INE and Chinese stock–WTI. However, we only find statistically significant evidence of unidirectional volatility spillover from the Chinese crude oil future market to the Chinese stock market during the pandemic.",7,Journal of Risk and Financial Management,,True,10.3390/jrfm15110491
More different than alike: cross-sector volatility spillovers in Chinese stock sectors during COVID-19 pandemic,Yufeng Chen; Reyila Yimaier; Lin Xiang,2024,stock market covid GARCH,Yes,"ABSTRACT The asymmetric spillovers and dynamic connectedness among sectors in Chinese stock market have not been fully studied, especially the impact of catastrophic events related to the COVID-19 pandemic on the linkages. In this paper, an asymmetric VAR-BEKK (DCC) – GARCH model is employed to measure the volatility spillovers and dynamic correlations among Chinese stock sectors before and during the COVID-19 pandemic. The empirical results indicate that volatility spillovers among sectors are significant, with evident differences before and during COVID-19. To be specific, the primary spillover transmitting sector has shifted from telecom business for the pre-pandemic period to the financial real estate sector after the outbreak. However, the role of the raw materials sector as the spillover receiver has not changed. Notably, the medical health sector forms closed-loop chains of transmission with the most other sectors during the COVID-19 period. In addition, asymmetric volatility spillovers and dynamic correlations among stock sectors are also significantly examined. The findings contribute to investors and decision makers in adjusting trading strategies and monitoring market risks.",7,Applied Economics,JournalArticle,False,10.1080/00036846.2024.2305162
Does COVID-19 pandemic event alter the dependence structure breaks between crude oil and stock markets in Europe and America,Kai Chang; Shengchun Li,2022,stock market covid GARCH,Yes,"This article attempts to investigate the influence of novel coronavirus (COVID-19) pandemic on the dependence structure break between crude oil and stock markets in Europe and America using ARMA-GARCH and R-vine copula methods. The empirical results demonstrate that international crude oil and European (American) stock markets have significant asymmetric and symmetric dependence structure, rapid outbreak of COVID-19 pandemic triggers their dependence structure break. The results of Kendall correlation confirms that COVID-19 pandemic amplifies the dependence risks between European Brent crude oil and France (German and Spain) stock markets and reduces the dependence risk between Brent crude oil and UK (Italy) stock markets after February 20, 2020. The COVID-19 pandemic may amplify the dependence risk between West Texas Intermediate (WTI) crude oil and Canada stock markets after March 23, 2020, it first quickly reduces the dependence risks between WTI crude oil and US (Brazil and Mexico) stock markets after March 23, 2020 and then enlarges their dependence risks after June 30, 2020. European and American crude oil and stock markets have induced different ranges of their dependence risks in different time scales and their dependence structure breaks have good robustness.",7,Energy Reports,,True,10.1016/j.egyr.2022.10.450
COVID-19 pandemic and linkage between stock markets in Middle Eastern countries,S. Al-Khazaleh; Dr. Nemer Badwan; Ibrahim Eriqat; Zahra El Shlmani,2024,stock market covid GARCH,Yes,"Purpose
The purpose of this study is to evaluate the linkage between stock markets in Middle Eastern countries before and during the COVID-19 pandemic by using daily and monthly data sets for the period from 2011 to 2021.

Design/methodology/approach
The multivariate BEKK-GARCH model was computed to evaluate the existence of non-linear linkage among Middle Eastern stock markets. A correlation approach was used in this study to determine the type of linear connectivity between Middle Eastern stock markets. The study used monthly and daily data sets covering the years 2011 to 2021 to investigate the linkage between stock returns and the volatility spillover between the stock markets in Palestine, Jordan, Syria and Lebanon, both before and during COVID-19. To understand the types of relationships between markets before and during COVID-19, the daily data set was split into two periods.

Findings
Results from the pre-COVID-19 suggest that the Syria stock market is not related to any stock market in the Middle East markets; the Palestine and Lebanon stock markets exhibit a weak relationship, but Jordan and Palestine stock markets are strongly linked. Conversely, results from COVID-19 evince a very strong bidirectional volatility spillover between Middle East stock markets. Overall, the results indicate the existence of increased linkage during the COVID-19.

Research limitations/implications
The data collection on a daily and monthly basis, both before and during COVID-19, presents certain limitations for the paper. Another limitation is that the data cannot be generalized to all other Middle Eastern countries; rather, the conclusions drawn can only be applied to these four countries. This is especially true if the scholars collected most of the necessary data but were unable to obtain certain data for various reasons.

Practical implications
These findings have implications for risk management, market regulation and the growth of local stock markets. Facilitating the growth of smaller, more specialized markets to improve integration with other Middle Eastern markets is one of the goals of the domestic stock market development policy. To ensure financial stability, Middle Eastern stock market linking policies should consider spillover risk and take steps to minimize it. Enhancing the range of investment opportunities accessible to shareholders and functioning as confidential risk-sharing mechanisms to facilitate improved risk management in Middle Eastern stock markets will not only significantly influence the mobilization of private capital to promote investment and local economic growth but also lay groundwork for integrated market platforms.

Originality/value
This paper adds to the body of literature by demonstrating the nature of the connections between these small markets and the larger markets in the Middle East region. Information from the smaller markets provides institutional insights that enhance the body of existing research, guide the formulation of evidence-based policies and advance financial literacy in these markets. This study contributes by comparing data from different stock markets to better understand the type and strength of the link and relationship between Middle Eastern stock markets, as well as any underlying or reinforcing factors that might have contributed to the relationship and the specific types of links that these markets shared prior and during COVID-19.
",7,Journal of Chinese Economic and Foreign Trade Studies,JournalArticle,False,10.1108/jcefts-01-2024-0010
Interconnectedness among cryptocurrencies and financial markets: a systematic literature review,Ismail Adelopo; Xiaojun Luo,2025,stock market covid GARCH,No,,7,Digital Finance,Review,False,10.1007/s42521-025-00155-2
